"api_family","section","endpoint_name","method","documented_url","endpoint_key","parigo_relevance","audit_execution","evidence_source","rationale"
"Public API","Public API > Accessing Metadata > Libraries","Get Labels/Libraries (Include Inactive)","GET","{HM_ServiceAPI_URL}/getlibraries/{HM_ServiceAPI_MemberToken}/includeinactive","getlibraries","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Libraries","Get Label/Library","GET","{HM_ServiceAPI_URL}/getlibrary/{HM_ServiceAPI_MemberToken}/{LibraryID}?returnCodes={returnCodes}","getlibrary","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Styles","Get Style Groups","GET","{HM_ServiceAPI_URL}/getstylegroups/{HM_ServiceAPI_MemberToken}","getstylegroups","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Accessing Metadata > Styles","Get Styles","GET","{HM_ServiceAPI_URL}/getstyles/{HM_ServiceAPI_MemberToken}?groupID={GroupID}&allowEmptyStyle=false","getstyles","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Styles","Get Styles By Language Code","GET","{HM_ServiceAPI_URL}/getstyles/{HM_ServiceAPI_MemberToken}/{LanguageCode}?groupID={GroupID}","getstyles","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Albums","Get Albums By Label/Library","GET","{HM_ServiceAPI_URL}/getalbums/{HM_ServiceAPI_MemberToken}/{LibraryID}","getalbums","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Albums","Get Albums By Label/Library (Include Inactive)","GET","{HM_ServiceAPI_URL}/getalbums/{HM_ServiceAPI_MemberToken}/{LibraryID}/includeinactive","getalbums","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Albums","Get Albums By Style","POST","{HM_ServiceAPI_URL}/getalbumsbystyles/{HM_ServiceAPI_MemberToken}","getalbumsbystyles","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Accessing Metadata > Albums","Get Albums By Album","POST","{HM_ServiceAPI_URL}/getalbumsbyids/{HM_ServiceAPI_MemberToken}","getalbumsbyids","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Accessing Metadata > Albums","Get Featured Albums","GET","{HM_ServiceAPI_URL}/getfeaturedalbums/{HM_ServiceAPI_MemberToken}/{Top}?returntrackcount={returnTrackCount}&mainonly={mainOnly}&sort={sortorder}","getfeaturedalbums","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Albums","Get Latest Albums","GET","{HM_ServiceAPI_URL}/getlatestalbums/{HM_ServiceAPI_MemberToken}/{Top}","getlatestalbums","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Accessing Metadata > Albums","Get Album","GET","{HM_ServiceAPI_URL}/getalbum/{HM_ServiceAPI_MemberToken}/{AlbumID}?returnLibraryCodes={returnLibraryCodes}","getalbum","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Albums","Get Album Tracks","GET","{HM_ServiceAPI_URL}/getalbumtracks/{HM_ServiceAPI_MemberToken}/{AlbumID}/mainonly?skip={skip}&limit={limit}","getalbumtracks","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Albums","Get Album Tracks (Include Inactive)","GET","{HM_ServiceAPI_URL}/getalbumtracks/{HM_ServiceAPI_MemberToken}/{AlbumID}/includeinactive?skip={skip}&limit={limit}","getalbumtracks","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Tracks","Get Tracks","POST","{HM_ServiceAPI_URL}/gettracks/{HM_ServiceAPI_MemberToken}","gettracks","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Tracks","Get Top Tracks","POST","{HM_ServiceAPI_URL}/gettoptracks/{HM_ServiceAPI_MemberToken}","gettoptracks","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Accessing Metadata > Categories","Get Categories","GET","{HM_ServiceAPI_URL}/getcategories/{HM_ServiceAPI_MemberToken}/hasactivetrackonly?languagecode={LanguageCode}","getcategories","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Right Holders","Get Rightholders By Track","GET","{HM_ServiceAPI_URL}/getrightholders/{HM_ServiceAPI_MemberToken}/{TrackID}","getrightholders","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Featured Playlist Categories & Playlists > Playlist Categories","Get Featured Playlist Categories","GET","{HM_ServiceAPI_URL}/getfeaturedplaylistcategories/{HM_ServiceAPI_MemberToken}?returnplaylistcount={HM_ServiceAPI_ShowCounts}&skip={HM_ServiceAPI_Skip}&limit={HM_ServiceAPI_Limit}&sort={HM_ServiceAPI_PlaylistSortOrder}","getfeaturedplaylistcategories","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Accessing Metadata > Featured Playlist Categories & Playlists > Playlist Categories","Get Featured Playlist Categories & Playlists","GET","{HM_ServiceAPI_URL}/getfeaturedplaylistcategoriesandplaylists/{HM_ServiceAPI_MemberToken}?returnplaylistcount={HM_ServiceAPI_ShowCounts}&returntrackcount={HM_ServiceAPI_ShowCounts}&returnrootobjectsonly={HM_ServiceAPI_ShowCounts}&playlistcategoryid={HM_ServiceAPI_NewMemberPlaylistCategoryID}&skip={HM_ServiceAPI_Skip}&limit={HM_ServiceAPI_Limit}&sort={HM_ServiceAPI_PlaylistSortOrder}","getfeaturedplaylistcategoriesandplaylists","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Accessing Metadata > Featured Playlist Categories & Playlists > Playlists","Get Featured Playlists","GET","{HM_ServiceAPI_URL}/getfeaturedplaylistsplaylistonly/{HM_ServiceAPI_MemberToken}?showtrackcount={ShowTrackCount}&skip={Skip}&limit={Limit}&languagecode={LanguageCode}&style={StyleID}","getfeaturedplaylistsplaylistonly","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Featured Playlist Categories & Playlists > Playlists","Get Featured Playlist","POST","{HM_ServiceAPI_URL}/getfeaturedplaylistandtracks/{HM_ServiceAPI_MemberToken}/{PlaylistID}","getfeaturedplaylistandtracks","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Featured Playlist Categories & Playlists > Playlists","Search Featured Playlist Tracks","POST","{HM_ServiceAPI_URL}/searchfeaturedplaylisttracks/{HM_ServiceAPI_MemberToken}/{HM_ServiceAPI_FeaturedPlaylistID}","searchfeaturedplaylisttracks","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Accessing Metadata > Shared Playlists","Get Shared Playlist","GET","{HM_ServiceAPI_URL}/getsharedplaylistwithmembertoken/{HM_ServiceAPI_MemberToken}/{PlaylistID}?Skip={Skip}&Limit={Limit}","getsharedplaylistwithmembertoken","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Accessing Metadata > Cuesheets > Generate Cuesheet By Library","Get Generated Cuesheet By ID","POST","{HM_ServiceAPI_URL}/getcuesheet/{HM_ServiceAPI_MemberToken}?filename={Filename}","getcuesheet","Adjacent capability","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Cuesheets > Generate Cuesheet By EDL Matching","Get EDL File Upload URL","POST","{HM_ServiceAPI_URL}/getpresigneduploadurl/{HM_ServiceAPI_MemberToken}","getpresigneduploadurl","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Cuesheets > Generate Cuesheet By EDL Matching","Confirm EDL File Upload Complete","POST","{HM_ServiceAPI_URL}/confirmpresignedupload/{HM_ServiceAPI_MemberToken}","confirmpresignedupload","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Accessing Metadata > Cuesheets > Generate Cuesheet By EDL Matching","Get Cuesheet Matches","POST","{HM_ServiceAPI_URL}/getcuesheetmatch/{HM_ServiceAPI_MemberToken}","getcuesheetmatch","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Searching Metadata > Search","Search","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Searching Metadata > Search","Predictive Search","POST","{HM_ServiceAPI_URL}/autocomplete/{HM_ServiceAPI_MemberToken}","autocomplete","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Searching Metadata > Search Similar > AIMS > Similarity (By TrackID)","Search Similar Tracks (By TrackID)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > AIMS > Similarity (By Audio File Upload)","Get Audio File Upload URL","POST","{HM_ServiceAPI_URL}/getpresigneduploadurl/{HM_ServiceAPI_MemberToken}","getpresigneduploadurl","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > AIMS > Similarity (By Audio File Upload)","Confirm Audio File Upload Complete","POST","{HM_ServiceAPI_URL}/confirmpresignedupload/{HM_ServiceAPI_MemberToken}","confirmpresignedupload","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > AIMS > Similarity (By Audio File Upload)","Search Similar Tracks (By Audio File Upload)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > AIMS > Similarity (By URL)","Get External Audio File","POST","{HM_ServiceAPI_URL}/getexternalaudiobyurl/{HM_ServiceAPI_MemberToken}","getexternalaudiobyurl","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > AIMS > Similarity (By URL)","Search Similar Tracks (By URL)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > AIMS > Similarity (By Prompt)","Search Similar Tracks (By Prompt)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By TrackID)","Search Similar Tracks (By TrackID)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By Uploaded Audio File)","Get Audio File Upload URL","POST","{HM_ServiceAPI_URL}/getpresigneduploadurl/{HM_ServiceAPI_MemberToken}","getpresigneduploadurl","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By Uploaded Audio File)","Confirm Audio File Upload Complete","POST","{HM_ServiceAPI_URL}/confirmpresignedupload/{HM_ServiceAPI_MemberToken}","confirmpresignedupload","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By Uploaded Audio File)","Get External Audio File Ingestion Status","POST","{HM_ServiceAPI_URL}/getexternalaudiostatus/{HM_ServiceAPI_MemberToken}","getexternalaudiostatus","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By Uploaded Audio File)","Search Similar Tracks (By Audio File Upload)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By URL)","Get External Audio File Ingestion Status","POST","{HM_ServiceAPI_URL}/getexternalaudiostatus/{HM_ServiceAPI_MemberToken}","getexternalaudiostatus","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By URL)","Search Similar Tracks (By URL)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > CYANITE > Similarity (By Free Text)","Search Similar Tracks (By Free Text)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By Track ID)","Search Similar Tracks (By TrackID)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By Audio File Upload)","Get Audio File Upload URL","POST","{HM_ServiceAPI_URL}/getpresigneduploadurl/{HM_ServiceAPI_MemberToken}","getpresigneduploadurl","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By Audio File Upload)","Confirm Audio File Upload Complete","POST","{HM_ServiceAPI_URL}/confirmpresignedupload/{HM_ServiceAPI_MemberToken}","confirmpresignedupload","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By Audio File Upload)","Search Similar Tracks (By Audio File Upload)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By URL)","Get External Audio File","POST","{HM_ServiceAPI_URL}/getexternalaudiobyurl/{HM_ServiceAPI_MemberToken}","getexternalaudiobyurl","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By URL)","Search Similar Tracks (By URL)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By Prompt)","Search Similar Tracks (By Prompt)","POST","{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken}","cloudsearch","Adjacent capability","Static contract + live service capability check","Harvest documentation + ServiceInfo.SearchSimilarInfo","The shared endpoint name exists in Parigo, but this specialised search workflow is not implemented and SearchSimilarInfo is empty on the live service."
"Public API","Public API > Member Management > Registration","Register Member","POST","{HM_ServiceAPI_URL}/registermember/{HM_ServiceAPI_Token}","registermember","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Registration","Validate Username","POST","{HM_ServiceAPI_URL}/validateusername/{HM_ServiceAPI_Token}","validateusername","Adjacent capability","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Registration","Validate Email","POST","{HM_ServiceAPI_URL}/validatememberemail/{HM_ServiceAPI_Token}","validatememberemail","Adjacent capability","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Verification","Send Verify Member Link Email","POST","{HM_ServiceAPI_URL}/sendmemberverifylinkemail/{HM_ServiceAPI_Token}","sendmemberverifylinkemail","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Verification","Validate Verify Member Token","GET","{HM_ServiceAPI_URL}/validateverifymembertoken/{HM_ServiceAPI_Token}/{VerifyMemberToken}","validateverifymembertoken","Adjacent capability","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Verification","Verify Member","POST","{HM_ServiceAPI_URL}/verifymember/{HM_ServiceAPI_Token}","verifymember","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Authentication","Authenticate Member & Generate Persistent Member Token","POST","{HM_ServiceAPI_URL}/getmembertoken/{HM_ServiceAPI_Token}","getmembertoken","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Authentication","Validate Member Token","GET","{HM_ServiceAPI_URL}/getservicetokeninfo/{HM_ServiceAPI_MemberToken}","getservicetokeninfo","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Management > Authentication","Expire Member Token","GET","{HM_ServiceAPI_URL}/expiretoken/{HM_ServiceAPI_MemberToken}","expiretoken","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Authentication","Validate Persistent Member Token","POST","{HM_ServiceAPI_URL}/validatepersistentlogintoken/{HM_ServiceAPI_Token}","validatepersistentlogintoken","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Authentication","Expire Persistent Member Token","POST","{HM_ServiceAPI_URL}/expirepersistentlogintoken/{HM_ServiceAPI_Token}","expirepersistentlogintoken","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Single Sign-on","Get Single Sign-on Token","GET","{HM_ServiceAPI_URL}/getssotoken/{HM_ServiceAPI_MemberToken}","getssotoken","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Management > Single Sign-on","Validate Single Sign-on Token","POST","{HM_ServiceAPI_URL}/validatessotoken/{HM_ServiceAPI_Token}","validatessotoken","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Management > Profile","Get Member Details","GET","{HM_ServiceAPI_URL}/getmember/{HM_ServiceAPI_MemberToken}","getmember","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Profile","Get Member Details (Invited)","POST","{HM_ServiceAPI_URL}/getinvitedmembertoken/{HM_ServiceAPI_Token}","getinvitedmembertoken","Adjacent capability","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Profile","Update Member Details","POST","{HM_ServiceAPI_URL}/updatemember/{HM_ServiceAPI_MemberToken}","updatemember","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Profile","Get Member Image Upload URL","POST","{HM_ServiceAPI_URL}/getpresigneduploadurl/{HM_ServiceAPI_MemberToken}","getpresigneduploadurl","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Profile","Confirm Member Image Upload Complete","POST","{HM_ServiceAPI_URL}/confirmpresignedupload/{HM_ServiceAPI_MemberToken}","confirmpresignedupload","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
